Birch_base,DBSCAN_base,Birch_bayes_best,DBSCAN_bayes_best,Passed
2638,7,1616,3,1
2251,1,1769,1,1
1265,-1,514,5,1
2641,0,935,0,1
487,11,958,5,0
1371,7,285,3,0
2134,4,329,0,1
1214,2,802,2,1
94,2,561,2,1
1670,6,1945,4,1
314,11,951,5,0
1274,2,534,2,0
2660,9,1562,2,1
2433,3,1573,3,0
542,6,974,4,1
2171,0,791,0,0
991,7,454,3,0
745,8,310,4,0
1157,4,756,0,1
2637,2,1580,2,1
576,8,645,4,1
1348,6,1779,4,1
2613,3,1548,3,1
1261,4,458,0,0
1860,7,2274,3,0
265,4,945,0,0
2148,1,407,1,0
2185,2,1768,2,1
1327,6,1779,4,1
863,3,208,3,1
2243,6,1810,4,1
1769,10,2175,5,1
2247,11,1754,5,1
77,4,1053,0,1
1329,0,1799,0,1
2220,10,1811,5,0
2595,7,2348,3,1
1835,7,2348,3,1
2585,5,1600,1,1
1402,3,1730,3,0
853,8,396,4,0
1866,8,2438,4,0
1387,9,739,2,0
2544,3,1812,3,1
2638,7,1551,3,0
536,3,995,3,1
766,2,281,2,1
2579,8,1569,4,1
1505,5,2080,1,0
1719,1,2343,1,1
1173,-1,345,0,1
1722,2,2183,2,1
239,2,554,2,1
1826,4,2312,0,1
2197,8,1738,4,0
486,1,912,1,1
2473,8,188,4,0
1014,7,505,3,1
83,8,455,4,1
1494,10,2480,5,0
342,-1,1258,5,0
1401,7,2207,3,1
1673,1,1922,1,1
1425,6,1932,4,0
2385,4,209,0,1
2166,6,1808,4,0
85,10,5,5,1
1886,4,2434,0,1
277,1,909,1,1
1764,5,2004,1,1
749,9,344,2,0
2244,9,1706,2,0
447,7,1113,3,0
2636,9,1758,2,0
2596,6,1663,4,0
1720,9,2141,2,0
2145,7,747,3,1
874,1,182,1,1
258,3,920,3,1
264,2,1001,2,0
315,1,1323,1,0
606,2,461,2,0
1731,2,2106,2,0
1461,2,2006,2,0
457,8,1119,4,1
1305,4,2238,0,1
305,5,916,1,1
860,4,192,0,1
2102,3,2345,3,0
1866,8,2293,4,1
2408,4,231,0,1
947,0,1052,0,0
1266,4,580,0,0
512,8,905,4,0
1797,5,2330,1,1
1051,1,750,1,1
2495,5,279,1,0
30,6,1424,4,1
574,4,58,0,0
2250,2,1837,2,1
1205,6,729,4,0
1432,6,1945,4,1
1093,1,772,1,0
2235,3,1711,3,0
2636,9,1649,2,0
1674,9,1904,2,1
1040,6,732,4,0
2234,2,1710,2,1
438,5,1120,1,1
364,6,1362,4,0
2661,9,1175,2,1
1962,0,2433,0,1
840,9,217,2,1
2577,9,1756,2,0
2018,9,2524,2,1
1135,9,697,2,1
2156,5,2167,1,1
361,1,150,1,1
319,6,997,4,1
1198,5,752,1,1
1958,5,2525,1,0
1627,4,2176,0,1
1080,5,839,1,1
1367,6,2188,4,0
1009,3,116,3,0
2148,1,407,1,1
2620,0,931,0,0
2040,2,2458,2,1
358,8,982,4,1
202,24,577,0,0
1979,6,2321,4,0
1333,9,2131,2,0
925,7,1113,3,0
1028,6,828,4,0
132,11,1251,5,1
114,8,1259,4,1
97,10,503,5,0
2193,6,804,4,1
1315,9,2133,2,0
283,0,992,0,1
1806,6,2038,4,0
1200,6,467,4,0
908,0,13,0,0
2003,0,1010,0,0
18,3,633,3,1
1407,6,1595,4,1
1704,4,1940,0,0
1971,9,975,2,1
1921,3,2478,3,0
1828,0,2326,0,1
542,6,950,4,0
1210,3,735,3,1
1176,5,624,1,0
2530,1,1671,1,1
2406,7,185,3,1
301,0,992,0,1
2645,9,919,2,1
789,-1,346,5,1
1692,5,1924,1,1
2552,6,1861,4,0
1967,9,2340,2,0
1856,3,2282,3,0
37,3,1977,3,1
2536,11,1593,5,1
923,2,1087,2,1
83,8,981,4,1
2637,2,1580,2,1
1883,8,2094,4,0
2594,6,1652,4,1
2647,5,1597,1,1
105,4,1430,0,1
2517,5,369,1,1
1191,8,727,4,1
1199,3,1917,3,1
2624,2,1678,2,0
357,3,1105,3,1
763,9,325,2,0
2178,0,1645,0,0
1834,8,1770,4,1
1973,7,2298,3,1
2444,0,1589,0,0
894,7,1151,3,0
2326,9,1651,2,1
1710,7,1934,3,1
437,1,1121,1,1
1414,0,830,0,0
2587,1,1662,1,1
1980,1,2290,1,0
1852,6,2321,4,0
2429,5,274,1,0
363,10,1422,5,0
489,5,966,1,1
2288,4,1793,0,1
1731,2,2106,2,0
2290,8,1814,4,1
1861,4,2465,0,1
2353,3,1596,3,0
1861,4,2388,0,0
1134,1,792,1,0
1186,5,615,1,1
2493,-1,335,0,0
522,0,1165,0,1
2663,2,1674,2,0
1826,4,2312,0,1
1313,3,2223,3,0
2197,8,1738,4,0
2534,6,1612,4,1
7,4,452,0,1
493,4,1028,0,1
371,3,920,3,0
1043,8,780,4,0
2527,8,1599,4,0
751,4,294,0,0
962,4,1189,0,0
1299,2,655,2,1
1902,7,1233,3,1
794,-1,347,2,0
2581,1,1759,1,0
2588,7,2274,3,0
1274,2,534,2,0
1893,7,2277,3,1
1640,-1,2259,4,1
1961,5,2526,1,0
1986,4,2388,0,1
255,5,1012,1,1
1397,2,2270,2,1
2637,2,902,2,1
2286,6,2426,4,1
1440,8,1947,4,0
2,1,447,1,1
853,8,23,4,0
2471,11,1552,5,0
762,4,35,0,0
790,0,348,0,1
352,0,1070,0,1
1397,2,2270,2,0
662,3,1446,3,1
2315,0,1755,0,0
2531,6,1652,4,1
960,9,1082,2,0
2526,0,1627,0,1
1264,1,447,1,1
2255,2,1541,2,0
2149,2,1815,2,1
2506,8,397,4,1
991,7,454,3,0
1042,2,763,2,0
62,9,1434,2,0
2404,5,1584,1,0
2608,1,1574,1,1
1968,1,2459,1,1
255,5,916,1,0
1409,5,1648,1,0
1370,4,2180,0,0
2314,-1,1816,0,0
1054,2,1768,2,0
2260,0,1755,0,0
1387,9,739,2,1
2352,10,1650,5,1
1964,11,972,5,1
2375,4,1632,0,0
1817,3,2349,3,1
2586,0,1570,0,0
1716,7,2389,3,1
2425,5,216,1,1
1727,4,1813,0,1
2465,1,182,1,0
531,0,935,0,0
1838,5,2306,1,1
1321,5,2163,1,1
311,4,1207,0,1
1860,7,2274,3,0
1334,4,2176,0,1
2064,3,971,3,0
1715,3,2350,3,1
742,2,143,2,1
2095,6,2575,4,0
1406,2,1580,2,1
1824,6,2380,4,1
1504,9,1920,2,1
602,8,446,4,0
1673,1,1902,1,1
770,2,283,2,0
1411,0,1390,0,1
2597,1,1624,1,0
1963,4,2317,0,0
417,8,1122,4,0
2647,5,1597,1,0
2121,1,1610,1,0
1402,3,2354,3,0
1858,8,2268,4,1
514,2,956,2,1
1186,5,614,1,0
555,5,55,1,0
2473,8,1599,4,0
548,0,931,0,1
427,4,1207,0,1
497,8,1655,4,0
2002,9,2309,2,1
996,2,655,2,0
486,1,990,1,1
840,9,217,2,1
2345,9,1618,2,1
1709,2,2172,2,1
1853,6,2367,4,0
1005,-1,338,0,1
881,7,34,3,0
748,3,337,3,0
197,1,1371,1,0
2616,7,2363,3,0
1336,4,2120,0,1
2660,9,1607,2,0
2101,5,2573,1,0
636,3,638,3,0
90,6,629,4,1
1728,2,2250,2,1
1678,2,1911,2,0
2043,4,2512,0,1
599,0,339,0,0
1441,0,470,0,0
877,2,1605,2,0
1965,2,2270,2,1
620,0,698,0,0
1879,6,2466,4,0
2624,2,1678,2,0
1052,9,794,2,1
1887,2,2270,2,1
12,1,448,1,0
2145,7,314,3,1
2200,2,1765,2,0
1056,4,790,0,0
2448,0,194,0,0
271,11,972,5,0
2267,3,1579,3,1
2555,6,371,4,1
1695,2,2172,2,0
548,0,931,0,0
1199,3,465,3,1
1385,3,1554,3,1
1410,10,1565,5,0
1395,3,2181,3,0
498,3,915,3,0
1861,4,2469,0,1
1068,11,701,5,0
2033,-1,1260,1,1
2606,8,2324,4,1
2176,0,838,0,0
1285,1,593,1,1
504,1,998,1,0
389,8,1437,4,1
731,1,1106,1,0
2623,9,181,2,0
2363,5,1653,1,1
309,11,999,5,1
1862,0,2507,0,0
1029,9,743,2,0
301,0,1234,0,1
2136,1,300,1,0
2630,9,1618,2,1
874,1,182,1,0
1921,3,2478,3,0
869,6,60,4,1
1694,11,1969,5,1
2621,7,1560,3,1
400,2,1055,2,1
363,10,1123,5,1
1310,6,2117,4,1
1199,3,499,3,0
749,9,297,2,1
554,4,15,0,0
2330,2,1605,2,0
1882,8,2438,4,1
1285,1,593,1,0
2611,8,1544,4,0
1050,9,695,2,0
1223,1,1902,1,0
1402,3,1711,3,1
2400,8,188,4,1
2180,4,790,0,1
2493,0,1819,0,1
1269,2,482,2,0
2229,2,1765,2,0
87,4,2208,0,1
233,3,1438,3,1
672,3,61,3,0
114,8,1259,4,0
2658,3,1626,3,0
481,4,1060,0,0
1048,9,789,2,1
1172,1,700,1,0
307,4,1242,0,0
1032,9,1572,2,0
2592,5,1600,1,1
1835,7,2348,3,0
1972,5,2279,1,1
507,10,1035,5,1
2,1,447,1,0
1866,8,2293,4,0
611,0,76,0,0
1708,9,1904,2,1
1385,3,1554,3,0
1893,7,2274,3,0
958,6,50,4,0
2006,11,2509,5,1
2576,6,1608,4,1
2177,4,1733,0,1
2148,1,327,1,1
1455,8,1474,4,0
2596,6,1663,4,0
1491,2,2500,2,1
310,6,1485,4,0
519,7,953,3,1
854,7,302,3,1
1054,2,731,2,0
1406,2,1580,2,0
1644,4,2065,0,1
867,5,320,1,0
2600,4,1664,0,0
1106,9,846,2,1
2305,5,1790,1,0
916,6,918,4,0
311,4,1305,0,1
1798,6,2281,4,1
272,7,923,3,0
897,3,155,3,1
1773,3,2604,3,0
2635,2,1702,2,0
1035,3,735,3,1
965,9,218,2,1
1482,2,1978,2,0
2555,6,201,4,0
1705,9,2202,2,1
2589,8,1770,4,1
2395,0,251,0,1
2034,17,2527,2,0
1365,2,2128,2,0
2035,1,2528,1,0
2624,2,947,2,0
1585,-1,1952,3,0
623,0,124,0,0
2034,17,2527,2,0
2009,0,2326,0,0
2375,4,259,0,0
32,3,1413,3,0
2240,8,1820,4,0
2254,4,1728,0,0
2608,1,1662,1,0
599,0,628,0,0
240,9,1439,2,0
1315,9,2184,2,0
1400,0,2217,0,0
848,9,217,2,1
588,8,23,4,1
2191,8,1771,4,1
757,3,309,3,0
2150,1,1821,1,0
626,0,40,0,0
2654,9,983,2,0
2246,7,1748,3,0
235,3,1413,3,0
2036,0,2589,0,0
1711,7,2002,3,0
2263,7,1757,3,0
2300,8,1721,4,0
895,2,178,2,1
2574,4,1703,0,0
2074,2,980,2,0
2259,9,2410,2,0
2445,3,429,3,0
787,5,55,1,0
1112,18,640,1,0
277,1,1610,1,1
1689,8,1947,4,0
264,2,1001,2,0
2614,3,1579,3,1
1600,1,2144,1,1
2609,2,1674,2,1
1867,1,2291,1,1
2467,3,324,3,1
2441,3,380,3,0
316,9,1262,2,0
1982,0,2351,0,0
2161,4,1855,0,0
2433,3,1573,3,0
255,5,906,1,0
874,1,200,1,1
588,8,23,4,1
834,1,327,1,0
1675,9,1964,2,0
922,1,1118,1,0
2576,6,1608,4,1
2264,7,1734,3,1
42,9,1440,2,1
2610,4,1654,0,1
1407,6,1595,4,0
271,11,951,5,1
1880,1,2459,1,0
7,4,452,0,0
1245,5,468,1,0
1027,5,212,1,1
2622,8,1544,4,0
2170,0,426,0,1
1188,1,773,1,0
308,1,1250,1,1
2438,7,374,3,0
1397,2,2128,2,0
1606,9,2104,2,0
2618,5,2405,1,0
1927,0,2015,0,1
2582,8,1536,4,1
1377,7,1915,3,0
986,7,505,3,1
1983,9,955,2,0
1652,1,2034,1,1
1397,2,2270,2,0
316,9,1262,2,0
1210,3,735,3,0
2642,7,1582,3,0
2180,4,1855,0,0
2582,8,1586,4,1
1603,3,2179,3,0
2182,0,1823,0,1
2646,8,940,4,0
2461,3,238,3,1
70,1,150,1,1
1853,6,2289,4,1
2244,9,1706,2,0
2390,2,1604,2,1
2203,7,1786,3,1
1912,3,1256,3,1
1402,3,2264,3,0
1336,4,2180,0,0
1273,9,476,2,1
1672,5,1901,1,1
759,7,341,3,1
1964,11,972,5,0
839,0,110,0,0
2643,4,991,0,1
1029,9,899,2,0
1390,6,1926,4,0
2623,9,1562,2,0
1675,9,1964,2,1
2645,9,1607,2,1
1472,4,1940,0,0
2474,-1,336,3,0
394,4,1441,0,0
2531,6,1642,4,1
257,9,941,2,0
1713,2,2288,2,1
2003,0,1537,0,0
2144,2,1726,2,0
272,7,1018,3,1
1387,9,2126,2,0
373,0,1390,0,0
2154,5,1746,1,1
2148,1,407,1,1
594,0,110,0,1
2406,7,185,3,1
1396,6,1948,4,1
524,6,1209,4,0
786,-1,288,3,0
886,4,187,0,0
2000,9,2356,2,0
877,2,1605,2,1
2389,10,1581,5,0
1894,6,2109,4,1
1750,2,2362,2,1
227,3,1376,3,1
1002,7,786,3,1
1049,2,642,2,0
766,2,281,2,0
1053,11,751,5,0
325,8,1312,4,1
386,9,1404,2,0
1410,10,2472,5,1
2579,8,1639,4,0
317,8,905,4,1
429,8,1122,4,1
1503,1,1914,1,1
1991,4,2317,0,0
838,5,222,1,0
1404,4,1713,0,0
2631,10,221,5,0
2280,3,1745,3,1
270,1,1480,1,0
2473,8,1599,4,1
1077,2,795,2,1
2609,2,1547,2,0
83,8,981,4,1
2591,3,2396,3,1
1206,9,717,2,1
1085,3,783,3,0
62,9,1434,2,0
1860,7,2274,3,1
2430,5,1584,1,1
2371,1,268,1,0
715,4,1402,0,1
2244,9,1706,2,1
2260,0,1689,0,0
1804,10,2364,5,1
2447,9,322,2,0
2434,7,1588,3,0
2301,0,1739,0,1
2136,1,300,1,0
1006,3,633,3,1
2002,9,2309,2,0
2375,4,1632,0,0
2102,3,2345,3,0
2252,5,1727,1,0
848,9,181,2,0
2493,0,1819,0,0
2449,7,1695,3,0
87,4,2208,0,0
763,9,325,2,1
252,7,1473,3,0
498,3,1111,3,0
1704,4,1940,0,0
2533,3,1617,3,0
2135,2,1541,2,0
1386,4,2178,0,1
1815,1,2331,1,1
1691,5,1961,1,0
1842,9,2352,2,0
1993,6,1663,4,0
1035,3,735,3,0
194,8,1392,4,1
1040,6,732,4,1
2304,5,1878,1,0
964,2,1115,2,1
1743,1,2121,1,1
2075,-1,2529,5,0
34,4,2483,0,0
2535,6,1885,4,1
1736,2,1818,2,1
402,7,1381,3,0
2163,9,1722,2,1
1031,2,754,2,1
1028,6,636,4,1
2579,8,1639,4,0
880,10,1123,5,0
1096,9,781,2,0
2284,5,1725,1,0
1859,1,2291,1,0
541,3,1003,3,0
2177,4,1733,0,1
115,8,1474,4,1
1976,10,2283,5,0
1768,0,2381,0,0
348,7,1059,3,0
2181,0,315,0,0
1427,1,1981,1,1
1409,5,2114,1,1
549,6,2543,4,1
2262,1,1809,1,0
2624,2,947,2,0
2575,5,1553,1,1
328,5,1393,1,1
99,1,620,1,1
1280,7,474,3,0
2485,9,405,2,0
92,7,80,3,1
824,4,294,0,0
2019,7,2510,3,0
2610,4,2317,0,1
2624,2,947,2,1
2638,7,1551,3,1
1600,1,2144,1,0
1058,8,333,4,1
486,1,990,1,0
886,4,192,0,0
2095,6,2442,4,0
2611,8,1569,4,0
2281,6,2118,4,0
588,8,23,4,0
391,11,144,5,0
2616,7,1551,3,0
1928,4,1328,0,1
930,-1,1080,0,0
326,4,1276,0,1
1073,4,1708,0,1
517,2,986,2,0
277,1,1610,1,0
2512,1,409,1,0
497,8,1058,4,1
349,6,908,4,0
1067,11,814,5,1
481,4,1060,0,0
2291,6,1810,4,1
2127,1,1740,1,1
2369,4,211,0,1
2372,8,258,4,0
2197,8,1738,4,1
352,0,1390,0,0
1784,4,2315,0,0
2630,9,1640,2,0
1684,0,1928,0,1
335,6,1244,4,0
1701,7,2095,3,0
460,3,1124,3,1
868,6,206,4,1
2528,4,272,0,1
1897,4,2439,0,0
2337,6,1679,4,1
2072,1,2290,1,1
257,9,941,2,1
31,5,1927,1,0
947,0,1074,0,1
1980,1,2287,1,1
1032,9,818,2,0
429,8,1119,4,1
1916,5,1979,1,1
606,2,642,2,1
2658,3,1023,3,1
2525,4,1747,0,1
118,5,1329,1,1
114,8,1259,4,1
1457,8,490,4,0
302,6,997,4,1
989,8,738,4,0
1366,8,2149,4,0
2645,9,1607,2,1
1439,10,533,5,0
1202,5,1901,1,1
1995,0,2433,0,0
1860,7,2476,3,1
1310,6,2136,4,0
2587,1,909,1,0
638,9,619,2,0
2663,2,1547,2,1
270,1,1480,1,0
2136,1,300,1,1
1257,3,465,3,1
2180,4,1855,0,0
1727,4,1813,0,1
2210,8,1763,4,1
1372,8,1763,4,1
1752,6,2314,4,1
1408,1,2102,1,1
1929,5,1980,1,0
1397,2,2128,2,0
746,3,316,3,1
34,4,1442,0,1
2264,7,1734,3,1
1509,1,1981,1,0
2624,2,1678,2,1
1405,3,1939,3,1
2627,8,1682,4,1
1683,7,2147,3,1
403,5,1120,1,1
1185,0,547,0,0
904,2,195,2,1
232,6,1424,4,0
1930,7,2059,3,0
355,6,937,4,0
312,2,948,2,0
2592,5,1653,1,1
2390,2,1605,2,0
2023,9,2506,2,1
2202,2,2101,2,1
2182,0,1823,0,1
2442,3,1617,3,0
2190,4,1708,0,1
1370,4,1713,0,0
1037,8,817,4,0
2244,9,1742,2,1
1435,7,2061,3,1
723,7,74,3,1
1878,4,2483,0,0
740,5,1443,1,1
960,9,1082,2,0
523,9,930,2,0
779,7,341,3,0
1405,3,826,3,0
1785,4,2316,0,0
394,4,1441,0,0
1313,3,2124,3,0
2613,3,1548,3,1
2584,3,1579,3,1
40,5,1443,1,0
1962,0,942,0,0
308,1,964,1,1
844,6,197,4,1
960,9,1082,2,1
1935,2,2530,2,0
1864,9,2347,2,0
71,7,1444,3,1
2583,2,1674,2,1
293,6,1033,4,1
2346,2,1604,2,1
2458,2,1605,2,1
1648,-1,1982,0,1
135,0,1445,0,0
2581,1,1736,1,0
1295,0,486,0,1
2236,9,1715,2,0
2656,3,1554,3,0
1509,1,2084,1,0
2432,7,1761,3,0
2437,7,336,3,0
1088,9,789,2,1
1079,-1,797,5,1
662,3,1446,3,1
1238,5,585,1,0
1197,0,547,0,0
1511,-1,1965,3,1
1401,7,1582,3,1
1028,6,289,4,0
1349,6,2205,4,0
1460,10,2480,5,1
1409,5,1648,1,0
740,5,1383,1,1
2603,11,1568,5,0
2657,3,1538,3,0
2238,7,1827,3,1
2610,4,1654,0,1
2663,2,1580,2,1
2238,7,1761,3,1
1398,8,1586,4,1
74,9,2010,2,0
1047,3,826,3,0
2473,8,402,4,0
2635,2,1563,2,1
1720,9,2141,2,1
1817,3,2345,3,0
1046,2,775,2,1
2066,7,2539,3,1
323,2,1243,2,1
1722,2,2106,2,1
2659,11,1125,5,1
1698,3,1917,3,1
276,1,924,1,0
2278,0,1709,0,0
1963,4,2317,0,0
2232,2,870,2,1
1409,5,1648,1,1
1729,10,2107,5,0
731,1,1,1,1
760,8,334,4,1
18,3,1376,3,0
853,8,1665,4,0
2254,4,1776,0,0
2642,7,923,3,1
364,6,997,4,1
1345,0,2169,0,1
534,5,1008,1,0
314,11,1251,5,1
2174,11,1764,5,1
1337,1,2182,1,1
1022,7,478,3,1
1828,0,2319,0,0
323,2,976,2,0
1713,2,2292,2,0
357,3,1108,3,0
1031,2,2150,2,0
1835,7,2366,3,1
12,1,1431,1,1
2432,7,1761,3,1
2587,1,1532,1,0
1988,4,2515,0,0
2093,7,953,3,1
762,4,313,0,1
1229,5,515,1,0
2326,9,1651,2,0
1308,0,2169,0,0
2379,1,1585,1,1
416,7,1126,3,0
2226,2,1726,2,0
2468,2,355,2,0
1932,6,2521,4,0
1986,4,991,0,1
1867,1,2291,1,0
1857,7,2348,3,0
2661,9,217,2,0
1916,5,2481,1,1
2486,2,1636,2,0
279,3,903,3,0
2596,6,1595,4,1
1904,7,2553,3,0
1223,1,1902,1,0
1866,8,2293,4,0
1927,0,2531,0,1
1205,6,769,4,0
99,1,504,1,1
1834,8,2320,4,0
2462,3,389,3,1
1272,-1,646,4,0
991,7,652,3,0
1102,10,361,5,0
520,1,994,1,0
563,1,147,1,0
1513,-1,1447,3,1
2123,1,1624,1,1
2275,9,1742,2,1
387,8,1384,4,1
1411,0,287,0,1
1263,1,464,1,0
574,4,58,0,0
107,9,1262,2,0
2623,9,1562,2,1
308,1,964,1,0
2616,7,1551,3,1
2529,8,1542,4,0
692,4,580,0,0
2203,7,1786,3,0
1190,4,582,0,1
1027,5,212,1,1
994,6,646,4,0
1393,9,2184,2,0
1058,8,333,4,1
2024,5,1245,1,0
430,8,1071,4,1
1656,4,2256,0,0
134,10,1448,5,1
1216,0,628,0,0
2605,5,1600,1,0
2384,8,1682,4,0
2555,6,1656,4,1
278,5,1012,1,1
1510,0,498,0,1
2121,1,1807,1,0
1620,0,2146,0,0
1313,3,2124,3,0
2202,2,1765,2,1
869,6,60,4,0
2133,5,1804,1,0
2612,2,2401,2,0
492,4,1076,0,0
845,11,1633,5,0
947,0,1074,0,0
2615,1,2337,1,0
1383,4,1760,0,0
265,4,991,0,1
1412,11,2417,5,1
1698,3,1917,3,1
1979,6,2353,4,1
1423,2,1911,2,0
2606,8,2324,4,1
740,5,1383,1,1
1040,6,770,4,0
2610,4,1654,0,0
758,7,312,3,1
561,2,461,2,0
1372,8,2155,4,0
290,3,1020,3,1
966,11,1127,5,0
2571,2,1881,2,0
1859,1,2533,1,0
865,5,906,1,0
2218,8,442,4,1
1,1,1436,1,1
2435,11,1657,5,0
2248,2,1625,2,1
2624,2,1678,2,1
1202,5,768,1,0
1325,5,1762,1,0
2210,8,1712,4,0
2327,8,1669,4,0
2025,7,1297,3,0
2105,9,2524,2,1
1385,3,1554,3,1
1235,9,516,2,0
2243,6,1720,4,1
1966,5,2272,1,0
1510,0,498,0,0
1475,0,1445,0,0
2017,8,2495,4,0
493,4,1028,0,0
949,1,1077,1,0
845,11,180,5,0
2250,2,1726,2,1
2492,2,1541,2,0
73,8,455,4,0
2037,2,2505,2,0
2148,1,620,1,1
2554,8,1788,4,0
1822,1,2276,1,1
8,6,733,4,0
1503,1,1914,1,0
429,8,1057,4,1
747,2,281,2,1
767,10,323,5,1
1329,0,1799,0,1
1999,2,2505,2,0
500,5,1143,1,0
2573,1,1610,1,1
1401,7,2207,3,0
311,4,996,0,0
2206,9,2185,2,1
269,7,1140,3,0
2197,8,817,4,1
2272,9,1706,2,1
2604,7,1535,3,0
2288,4,1793,0,1
88,8,1388,4,0
2006,11,2566,5,0
1080,5,788,1,0
496,1,1188,1,0
1657,4,2018,0,1
675,8,135,4,1
1385,3,1554,3,0
2393,0,1564,0,0
2460,10,1675,5,1
434,7,1069,3,0
2263,7,1757,3,1
2587,1,990,1,0
400,2,1055,2,0
91,9,1434,2,0
288,-1,979,0,0
2660,9,1722,2,1
131,7,2473,3,0
2106,6,1002,4,1
1835,7,2348,3,1
1027,5,212,1,0
499,1,994,1,1
1208,9,610,2,1
987,0,621,0,1
1457,8,490,4,1
932,1,1118,1,1
83,8,455,4,0
381,4,1373,0,0
2223,9,2185,2,0
1696,3,1943,3,1
1733,2,2288,2,1
849,6,206,4,0
2421,3,276,3,0
1879,6,2471,4,1
746,3,316,3,1
2376,10,1658,5,0
1423,2,2008,2,0
1385,3,2275,3,0
858,5,1648,1,1
2371,1,268,1,0
859,6,1642,4,1
1777,3,2333,3,0
429,8,1122,4,0
1114,4,767,0,1
1037,8,785,4,1
2447,9,403,2,0
1521,9,1929,2,1
286,7,1232,3,0
1333,9,2151,2,1
2289,3,1812,3,0
2017,8,2495,4,1
80,7,1444,3,1
1726,10,2175,5,0
759,7,652,3,1
967,0,1187,0,0
545,11,925,5,0
2167,4,304,0,0
1385,3,2181,3,0
1262,2,655,2,0
1835,7,2323,3,0
82,7,1228,3,1
495,2,1116,2,1
1844,2,2401,2,0
2634,6,918,4,0
2638,7,1659,3,1
889,2,1055,2,1
1417,3,1939,3,1
303,7,1247,3,0
2288,4,1816,0,1
1219,0,1928,0,0
1895,3,2264,3,0
1295,0,486,0,1
978,3,1111,3,0
752,3,280,3,1
2550,6,1861,4,1
1460,10,1912,5,1
1879,6,2471,4,1
2258,8,1814,4,1
2646,8,1665,4,0
1047,3,1800,3,0
2209,10,776,5,0
531,0,935,0,1
1868,8,2486,4,0
1308,0,2169,0,0
1993,6,1002,4,0
1407,6,1595,4,1
2645,9,919,2,0
1626,9,1983,2,0
1856,3,2517,3,0
870,5,49,1,1
276,1,1085,1,0
2642,7,1582,3,1
1310,6,2221,4,1
1484,2,1962,2,1
836,9,181,2,1
2138,2,1609,2,1
1859,1,2533,1,0
567,8,62,4,0
2488,2,411,2,1
2280,3,1745,3,1
2075,-1,2529,5,0
70,1,909,1,0
2632,2,1580,2,0
2513,-1,1630,5,0
2165,0,1718,0,0
2068,1,1024,1,1
2587,1,1662,1,1
1047,3,826,3,0
98,2,562,2,0
2265,-1,1825,5,0
1922,4,1263,0,0
1028,6,729,4,1
2524,4,1632,0,1
2129,1,877,1,0
2327,8,1669,4,1
1774,1,2073,1,1
865,5,906,1,0
2102,3,2345,3,1
2193,6,1732,4,1
1219,0,498,0,0
1080,5,788,1,1
264,2,1066,2,1
2654,9,983,2,0
2214,10,2159,5,1
2161,4,1855,0,1
2531,6,1656,4,0
597,3,72,3,0
490,7,953,3,0
1603,3,2122,3,0
2148,1,300,1,1
2183,6,1862,4,1
2274,9,1722,2,0
1117,-1,799,4,1
21,11,1399,5,0
1054,2,311,2,0
2604,7,1535,3,1
1588,8,2111,4,0
837,1,327,1,0
947,0,1074,0,0
2232,2,870,2,0
352,0,131,0,0
2145,7,285,3,1
2606,8,2324,4,0
636,3,63,3,0
1648,0,1984,0,1
1468,7,2098,3,0
1426,8,1923,4,1
588,8,712,4,0
2543,6,1796,4,1
2654,9,983,2,1
317,8,936,4,1
1689,8,2246,4,0
1499,4,2093,0,1
1863,2,2530,2,0
2038,1,2520,1,1
1664,7,1925,3,0
1701,7,796,3,1
952,3,1108,3,1
318,5,1223,1,0
1822,1,2276,1,1
1702,10,2228,5,1
902,8,29,4,1
264,2,1001,2,0
1894,6,1948,4,1
2240,8,1721,4,1
499,1,994,1,0
1469,8,490,4,1
2160,0,1707,0,0
2063,3,2576,3,1
261,0,927,0,1
860,4,192,0,1
2604,7,1588,3,1
429,8,1057,4,0
2548,8,1798,4,1
2002,9,2477,2,0
382,9,922,2,0
1409,5,1648,1,0
2441,3,380,3,1
477,8,904,4,0
1887,2,2355,2,0
742,2,65,2,0
2468,2,355,2,1
1642,2,1985,2,0
1370,4,1728,0,1
386,9,1440,2,0
1875,3,2307,3,0
3,1,448,1,0
577,4,637,0,1
2592,5,1553,1,1
1878,4,2483,0,0
349,6,997,4,0
2587,1,2287,1,0
1027,5,656,1,0
1465,2,1962,2,1
2238,7,1827,3,1
1977,6,2471,4,1
2648,6,908,4,0
305,5,944,1,0
198,7,596,3,1
2443,7,306,3,1
505,6,974,4,0
2247,11,1754,5,1
884,9,22,2,0
1625,2,1913,2,1
2486,2,1636,2,0
1981,0,2351,0,0
2543,6,1796,4,0
2404,5,1653,1,0
1675,9,1964,2,0
2121,1,1624,1,1
2304,5,1781,1,0
983,7,730,3,0
2003,0,1537,0,0
1867,1,2360,1,1
2094,11,2435,5,1
15,0,1390,0,0
1345,0,2169,0,1
2432,7,302,3,1
2497,2,415,2,0
1858,8,2293,4,0
44,1,538,1,0
123,6,1412,4,0
2433,3,1573,3,1
35,5,1451,1,0
2353,3,1621,3,1
383,6,1369,4,1
2609,2,1547,2,0
308,1,964,1,1
1197,0,630,0,1
103,7,2055,3,0
279,3,963,3,0
573,8,136,4,1
1333,9,2200,2,1
2028,-1,2519,0,0
1386,4,1949,0,0
110,3,1256,3,0
