Birch_base,DBSCAN_base,Birch_random_best,DBSCAN_random_best,Passed
361,6,1357,4,0
2550,1,1997,1,0
603,2,1894,2,1
75,2,808,2,0
365,6,1968,4,0
775,7,3477,3,0
708,8,3519,4,1
1175,2,3029,2,0
1649,5,3203,1,1
2670,8,1945,4,0
2077,5,544,1,1
428,1,1681,1,0
2322,4,1355,0,0
2458,10,2242,5,0
68,9,1242,2,1
758,5,1803,1,0
1801,5,253,1,1
3159,1,2513,1,1
3173,2,3392,2,0
2882,6,2442,4,1
2620,0,2363,0,0
1984,7,109,3,1
3092,7,2894,3,0
3000,5,2895,1,1
2044,0,273,0,1
1723,4,92,0,1
3056,7,2919,3,1
1710,0,205,0,1
157,-1,1182,4,1
2069,0,311,0,1
61,2,82,2,1
1812,5,340,1,1
957,0,787,0,1
1572,4,939,0,1
1328,1,3446,1,1
1285,9,3160,2,0
2851,4,2418,0,1
3113,4,2968,0,0
2813,-1,2295,5,1
3124,1,3106,1,0
433,1,824,1,0
911,7,781,3,0
1030,1,229,1,1
1354,6,3453,4,1
3147,2,2553,2,1
2822,1,2447,1,0
3113,4,2587,0,0
2774,6,2467,4,0
1542,5,3117,1,1
2801,6,2583,4,1
2506,5,2192,1,1
683,3,3436,3,0
1958,1,169,1,0
2330,0,319,0,0
742,1,3591,1,0
1573,3,630,3,0
681,11,181,5,1
2682,5,1656,1,1
2040,2,246,2,0
930,6,928,4,0
873,5,3473,1,1
2430,4,2792,0,0
1819,9,2887,2,1
1078,7,3131,3,0
1973,9,280,2,0
1958,1,169,1,0
193,5,1195,1,1
3163,8,3394,4,0
1756,2,2848,2,1
1337,7,3492,3,0
1547,3,920,3,1
976,5,3203,1,0
1951,3,300,3,1
3166,2,2469,2,1
1362,7,3391,3,1
1171,8,3264,4,0
2802,6,3119,4,0
2089,1,284,1,1
981,2,3134,2,1
1950,6,252,4,0
2135,7,417,3,0
2725,1,1918,1,0
1375,8,3406,4,0
2110,4,589,0,1
688,0,2435,0,0
1475,6,3496,4,0
1056,4,3020,0,0
67,8,118,4,0
1585,8,607,4,0
2548,9,1933,2,1
3112,5,2975,1,1
59,2,149,2,1
1003,6,3056,4,0
861,7,1978,3,1
1871,5,2095,1,1
343,5,2022,1,1
2506,5,1998,1,0
2818,5,2528,1,0
120,-1,1164,0,1
2282,7,220,3,0
1786,0,295,0,0
840,8,3430,4,0
2516,6,1927,4,1
2534,5,2415,1,1
261,8,1550,4,1
1717,6,252,4,0
2381,2,2896,2,0
955,9,3212,2,1
303,7,1963,3,1
673,8,2005,4,1
2248,9,1435,2,0
901,3,821,3,0
1280,3,3216,3,1
2893,-1,2531,2,1
2461,2,2810,2,0
2632,4,1914,0,1
1728,7,262,3,0
2506,5,1969,1,0
2774,6,3452,4,1
1958,1,77,1,0
839,9,903,2,0
1818,11,321,5,0
315,2,2101,2,1
1717,6,274,4,0
857,8,1843,4,0
1729,6,3121,4,0
851,0,937,0,1
2506,5,1969,1,1
1253,8,664,4,0
2073,6,700,4,1
2140,-1,418,3,0
2199,9,1435,2,0
585,2,1993,2,1
3184,-1,3021,0,1
2069,0,317,0,0
954,9,3455,2,0
2625,3,2292,3,1
2470,-1,2897,5,1
3120,8,2819,4,0
1868,3,2016,3,1
2815,9,2511,2,0
784,8,3521,4,0
2733,-1,2102,0,0
679,4,1913,0,1
1829,5,1351,1,1
3066,6,2767,4,0
3086,2,2964,2,0
1335,8,3113,4,0
1970,0,69,0,0
1873,5,341,1,1
2811,4,2259,0,1
1707,6,2787,4,0
2392,8,2631,4,0
2811,4,2259,0,0
2317,3,233,3,0
589,3,1706,3,1
1921,6,268,4,1
270,6,1409,4,1
1721,3,2858,3,0
663,7,2431,3,0
1020,5,3126,1,0
957,0,3416,0,1
408,2,1923,2,0
1707,6,2883,4,1
1309,4,3711,0,1
1493,-1,3712,4,1
2618,4,2298,0,1
2089,1,284,1,0
2073,6,381,4,0
77,7,109,3,1
2996,4,2632,0,0
2216,5,1360,1,1
2353,7,2832,3,0
1736,2,2870,2,0
865,10,959,5,1
3063,7,2829,3,1
64,4,124,0,0
1204,7,3217,3,1
1322,4,3772,0,1
1711,6,2863,4,0
2687,1,2188,1,1
121,-1,1196,0,1
2080,4,215,0,1
746,1,3567,1,1
1788,-1,3022,3,0
1305,2,3522,2,0
3091,7,3491,3,0
1864,5,2077,1,1
1629,1,826,1,1
375,3,1326,3,0
2544,5,2003,1,1
2526,5,2103,1,0
1737,8,301,4,0
1362,7,3424,3,1
922,8,954,4,1
970,0,3175,0,1
1602,9,796,2,1
2856,8,3478,4,1
677,0,1712,0,0
492,0,1547,0,0
2512,2,2765,2,1
2366,3,2299,3,0
1959,11,209,5,0
2876,10,2568,5,1
350,9,1325,2,1
3123,7,3131,3,1
2435,8,2025,4,1
3084,7,2507,3,1
669,0,1758,0,1
2202,-1,1384,4,0
91,5,68,1,1
2840,2,2424,2,1
2324,1,231,1,1
596,7,1932,3,0
479,6,1734,4,1
2349,8,306,4,0
3185,-1,3023,1,0
2361,7,2253,3,0
385,9,1405,2,1
1958,1,1997,1,1
2581,6,2427,4,1
1716,6,2784,4,0
2864,6,3760,4,1
2524,11,2047,5,0
2266,2,1197,2,1
226,0,1087,0,1
2254,7,1364,3,1
2346,8,1467,4,1
1878,5,1348,1,0
1995,6,1241,4,0
1960,2,149,2,1
1582,3,908,3,1
474,11,1563,5,1
1816,3,2780,3,1
2509,1,2420,1,0
3051,10,2594,5,0
1205,-1,3298,4,1
2073,6,381,4,1
379,3,1640,3,0
1317,2,3354,2,0
2004,1,1198,1,0
1731,9,2861,2,1
2622,8,1945,4,0
2647,2,2300,2,1
122,-1,1187,2,0
1972,1,78,1,1
1348,10,3523,5,0
1979,5,254,1,1
535,5,1704,1,1
860,5,909,1,0
1905,6,342,4,0
1764,4,2970,0,0
2619,10,1950,5,0
3207,5,3024,1,0
2777,0,2468,0,0
209,11,1199,5,0
2028,2,89,2,1
1794,-1,3208,4,1
362,1,1043,1,0
913,1,905,1,1
1990,5,135,1,1
1949,5,167,1,0
1560,11,615,5,0
3070,5,2762,1,1
619,10,1567,5,0
1958,1,169,1,1
306,8,2071,4,1
394,2,1936,2,0
1958,1,77,1,1
2783,10,2451,5,1
2580,11,2280,5,1
583,7,1607,3,1
2727,0,2033,0,0
662,5,1644,1,0
1600,0,609,0,0
122,9,1187,2,0
2459,8,2428,4,0
2579,4,2407,0,0
1870,3,2126,3,1
1608,5,951,1,1
1723,4,206,0,0
1953,5,2034,1,1
922,8,1776,4,0
2556,8,2262,4,1
2407,3,2532,3,1
1972,1,78,1,1
355,1,1980,1,1
2277,-1,412,5,1
2036,4,644,0,1
663,7,1737,3,0
873,5,3473,1,1
4,-1,18,-1,1
967,0,3186,0,1
89,1,134,1,1
1985,4,127,0,1
1423,1,3608,1,0
849,2,3398,2,1
471,3,1741,3,1
679,4,1913,0,0
2758,9,1564,2,0
1972,1,78,1,0
194,0,132,0,0
1023,9,280,2,1
2532,8,2215,4,1
1301,1,3546,1,1
994,1,3130,1,1
2809,-1,2533,1,1
1842,6,2877,4,0
2461,2,2810,2,1
2557,4,2282,0,1
783,6,3496,4,0
75,2,817,2,0
671,6,1959,4,0
589,3,1613,3,0
1973,9,198,2,0
2523,1,1939,1,0
377,0,1130,0,1
1045,2,3178,2,0
3155,11,3011,5,1
404,1,1028,1,1
442,2,1690,2,0
2788,3,3393,3,1
3139,9,2544,2,1
656,4,1922,0,0
2508,9,1953,2,0
924,-1,960,1,1
1542,5,3117,1,1
3000,5,2895,1,0
375,3,1326,3,1
904,9,978,2,0
1968,7,79,3,1
368,2,2026,2,1
1948,1,169,1,0
1816,3,2780,3,1
2133,6,213,4,0
1867,7,1424,3,1
2532,8,1941,4,1
184,9,815,2,1
1380,6,3025,4,0
388,-1,1022,5,0
2556,-1,2301,4,0
873,5,3473,1,0
1710,0,2842,0,1
1978,10,2035,5,1
225,9,1325,2,0
1337,7,3201,3,0
867,5,91,1,1
976,5,3044,1,0
654,-1,1671,2,0
675,3,1949,3,0
1714,1,2786,1,0
2672,10,2287,5,1
3109,7,3391,3,1
847,6,99,4,1
894,7,1781,3,0
3056,7,2919,3,1
3120,8,2480,4,0
2044,0,273,0,0
954,9,3128,2,0
1979,5,97,1,1
1167,1,3271,1,0
3013,4,2640,0,0
2638,9,1805,2,0
1342,8,3244,4,0
1284,1,3161,1,1
757,2,1883,2,0
2075,0,273,0,1
672,4,1942,0,0
1968,7,79,3,0
1770,8,2845,4,1
437,6,1733,4,0
1280,3,3216,3,1
2110,4,673,0,0
2835,1,2255,1,1
216,6,832,4,0
960,6,3133,4,0
2575,7,2302,3,0
1816,3,2790,3,0
2398,6,2267,4,0
1969,1,210,1,1
2274,3,1297,3,0
2414,3,2858,3,0
583,7,1607,3,0
3151,6,2491,4,1
1613,1,934,1,0
2802,6,2456,4,1
1509,0,719,0,0
1337,7,3201,3,1
2040,2,270,2,0
343,5,1175,1,1
1971,3,81,3,0
2366,3,2873,3,1
401,9,1392,2,1
1701,6,2806,4,0
2850,-1,3563,4,0
1872,-1,2898,4,1
1356,8,3521,4,0
225,9,125,2,0
1815,9,2773,2,0
1977,5,3185,1,1
385,9,1341,2,1
1486,9,3514,2,0
3117,2,3433,2,1
670,0,187,0,0
2194,4,1355,0,1
1267,-1,3299,1,1
3066,6,2767,4,0
324,2,2163,2,0
2619,10,2012,5,1
1983,9,172,2,0
3150,4,2557,0,1
2203,-1,1462,2,1
2771,8,3504,4,0
993,7,3156,3,0
855,4,1754,0,0
2006,1,1266,1,0
1152,4,3251,0,1
396,2,1425,2,1
88,9,113,2,1
1954,0,255,0,0
1301,1,3271,1,1
1733,8,2892,4,0
708,8,3519,4,0
2033,0,116,0,1
2438,7,2606,3,0
1823,2,2893,2,0
2517,7,2439,3,0
1147,-1,3300,1,0
319,10,2037,5,1
257,6,2067,4,1
2319,2,259,2,1
3137,5,3715,1,0
68,9,852,2,0
135,7,1222,3,1
2795,9,1805,2,0
2193,7,1364,3,0
3123,7,3170,3,0
2910,6,2476,4,0
840,8,3406,4,0
435,7,173,3,1
2583,1,1983,1,1
2642,0,1884,0,1
1812,5,223,1,1
678,2,1956,2,0
1783,0,295,0,0
667,4,103,0,0
257,6,1968,4,0
1607,7,962,3,1
676,0,1935,0,1
2772,0,2435,0,1
2070,1,221,1,0
2361,7,2273,3,0
2523,1,1965,1,1
1978,10,2438,5,1
301,2,2116,2,0
2517,7,2460,3,0
2441,2,2847,2,0
3127,2,2558,2,1
1039,1,299,1,1
2425,8,2928,4,1
581,7,1711,3,1
1912,8,275,4,0
596,7,2431,3,0
1065,6,3288,4,0
3147,2,2586,2,1
1954,0,146,0,0
2761,2,1546,2,0
414,8,1026,4,1
634,8,1552,4,0
89,1,854,1,0
196,3,1179,3,1
848,4,806,0,0
95,4,155,0,0
1014,8,3155,4,0
3131,8,2480,4,0
3109,7,3391,3,1
912,3,979,3,1
2532,8,1941,4,1
207,5,1188,1,0
1095,8,243,4,0
480,1,1584,1,0
1367,4,3409,0,1
995,11,181,5,0
2797,9,2470,2,0
2452,0,2899,0,0
54,7,157,3,0
876,7,1978,3,0
1625,5,803,1,1
1958,1,2023,1,0
734,5,909,1,1
1999,7,138,3,1
1989,9,280,2,1
2074,3,387,3,1
962,4,3141,0,0
1853,7,282,3,1
2329,7,202,3,0
1752,1,299,1,0
3173,2,3392,2,0
424,8,1675,4,1
34,-1,19,9,1
278,8,2038,4,0
1006,2,216,2,0
1346,3,3765,3,0
2781,5,2415,1,1
425,1,1676,1,0
1926,0,255,0,0
2090,11,410,5,1
1948,1,169,1,1
2075,0,3218,0,0
1539,10,636,5,0
2772,0,2435,0,0
3182,7,3012,3,1
1954,0,255,0,0
424,8,1675,4,0
2527,3,2858,3,1
2868,7,3426,3,0
1827,9,1947,2,1
678,2,3398,2,1
1818,11,237,5,0
2002,4,1239,0,0
975,0,3129,0,0
3089,1,3476,1,0
2518,7,1971,3,0
2076,6,580,4,1
3157,4,2534,0,1
219,3,1250,3,1
1948,1,191,1,0
1263,1,3280,1,0
1735,8,2900,4,1
2770,0,2463,0,1
266,8,1098,4,0
2648,5,2264,1,0
865,10,96,5,0
3095,3,2781,3,1
2636,4,2258,0,1
2237,1,1458,1,0
431,4,1684,0,1
365,6,1717,4,1
1905,6,251,4,0
774,9,3547,2,0
2048,0,833,0,1
2884,9,3425,2,0
1079,8,3120,4,1
1058,9,3219,2,0
380,3,1743,3,0
1797,-1,3220,2,1
1714,1,2799,1,0
660,5,1809,1,1
2420,3,2811,3,1
2988,1,2591,1,0
1013,2,585,2,1
1026,10,310,5,0
1676,1,834,1,1
2644,3,2433,3,1
1914,0,319,0,0
636,1,1816,1,1
1905,6,251,4,0
399,6,1327,4,1
1973,9,280,2,1
663,7,1971,3,0
609,10,1567,5,1
1635,5,830,1,0
1765,4,2633,0,0
3141,6,2610,4,0
626,1,1816,1,1
2317,3,233,3,0
192,0,116,0,1
1442,4,3460,0,1
2772,0,2487,0,1
359,5,1356,1,1
3085,8,3083,4,1
440,2,1726,2,0
3037,2,2782,2,1
76,2,791,2,1
1060,0,3259,0,1
386,2,1333,2,0
1036,0,324,0,0
313,0,2140,0,0
2951,-1,3026,3,0
2864,6,3525,4,0
2456,4,2849,0,1
1955,10,180,5,1
3166,2,2484,2,1
1344,4,3772,0,1
1829,5,1351,1,0
1729,6,252,4,1
1546,8,3138,4,0
2064,6,183,4,1
3080,4,2604,0,1
1206,3,3114,3,0
180,7,955,3,0
33,-1,17,8,0
839,9,796,2,1
131,1,1155,1,0
3127,2,3414,2,1
1953,5,266,1,1
138,9,1032,2,1
1588,7,581,3,0
480,1,1755,1,1
3110,6,3027,4,0
2998,1,2880,1,0
867,5,68,1,1
60,2,73,2,0
266,8,1098,4,0
2535,0,2008,0,1
1756,2,2916,2,0
508,3,1745,3,0
1707,6,2883,4,0
370,6,1146,4,0
311,4,2093,0,1
1791,8,343,4,0
454,11,1756,5,0
3082,3,2957,3,0
2368,7,2441,3,1
565,-1,1757,0,0
2848,9,3434,2,1
386,2,1333,2,1
60,2,73,2,1
1858,0,2105,0,1
2764,5,2422,1,1
2329,7,362,3,1
195,4,1173,0,1
864,1,986,1,0
315,2,2068,2,1
1574,9,642,2,1
60,2,110,2,1
2691,2,2157,2,1
1975,6,166,4,0
302,4,1376,0,0
2257,0,344,0,1
3114,7,3053,3,0
1749,2,2916,2,1
2782,7,2449,3,1
200,1,1316,1,1
3092,7,2894,3,1
1358,8,3499,4,0
440,2,1719,2,1
2203,9,1358,2,1
1085,6,3181,4,0
1838,2,2875,2,1
1838,2,2870,2,0
1268,-1,652,1,1
2805,4,2604,0,0
582,2,1566,2,1
2766,9,2423,2,0
1314,9,3266,2,0
979,9,3128,2,1
343,5,1092,1,1
1987,7,163,3,0
655,0,146,0,1
1970,0,69,0,1
1868,3,2016,3,1
3042,9,2778,2,1
975,0,3218,0,0
634,8,1552,4,0
1732,8,2900,4,1
1019,9,3210,2,1
2668,6,2028,4,1
656,4,1765,0,0
613,7,1780,3,0
408,2,1923,2,0
677,0,1758,0,0
2539,3,1949,3,0
3058,4,3157,0,0
1044,2,3139,2,0
1033,8,3221,4,0
1299,7,3678,3,1
1303,8,3744,4,1
1071,16,3283,5,1
1987,7,163,3,0
1087,7,3131,3,0
64,4,124,0,1
2763,4,3493,0,0
2773,2,3433,2,1
2086,6,213,4,0
1962,1,257,1,0
80,4,88,0,0
2198,0,1330,0,0
2770,0,2435,0,0
5,-1,20,-1,1
1949,5,3459,1,0
2922,9,3028,2,1
2444,5,2200,1,0
2322,4,293,0,0
2064,6,161,4,1
344,1,1975,1,1
2538,1,2799,1,0
1604,7,668,3,0
355,1,1245,1,1
2460,2,2722,2,0
1698,7,212,3,1
1899,1,2881,1,0
2323,1,333,1,1
62,7,84,3,0
1321,4,3273,0,0
2792,6,2456,4,0
1950,6,252,4,1
1519,4,62,0,0
1837,3,2811,3,0
350,9,1032,2,0
1990,5,167,1,1
1867,7,2817,3,0
422,2,2026,2,0
877,7,961,3,0
193,5,1195,1,1
3040,4,2632,0,0
332,0,2091,0,0
67,8,1157,4,0
793,-1,1844,0,0
587,8,1814,4,0
206,0,107,0,0
2047,7,415,3,1
1728,7,2894,3,0
692,6,3496,4,1
96,4,184,0,0
216,6,810,4,0
1516,2,3526,2,0
820,4,2250,0,1
2518,7,1971,3,0
1952,7,71,3,1
665,6,2467,4,1
1616,6,646,4,0
992,9,3455,2,1
3186,2,3692,2,1
2630,1,2347,1,1
1014,8,3221,4,1
680,6,1984,4,1
1443,9,3494,2,0
3152,5,2718,1,0
2802,6,3119,4,0
394,2,2011,2,0
481,7,1708,3,0
2336,6,1344,4,0
2805,4,2604,0,1
767,7,3461,3,0
609,10,1645,5,0
2757,13,1615,0,1
1613,1,934,1,0
2993,7,2616,3,1
2544,5,2003,1,1
1971,3,81,3,1
1990,5,68,1,1
2322,4,290,0,0
1845,9,1915,2,0
1568,6,626,4,0
673,8,2005,4,1
582,2,2011,2,1
1954,0,205,0,1
1700,4,2911,0,1
3123,7,3170,3,0
856,9,1696,2,0
1986,1,238,1,0
356,3,1985,3,0
1041,7,79,3,1
943,0,828,0,1
1838,2,2875,2,0
3052,11,2729,5,1
2336,6,274,4,1
2610,9,2236,2,1
1295,1,3400,1,0
1019,9,3210,2,0
1985,4,127,0,1
1474,0,3527,0,1
2436,1,2867,1,1
1043,-1,3222,5,0
964,6,3188,4,1
70,0,107,0,0
1974,5,254,1,0
993,7,616,3,0
1079,8,3155,4,1
2792,6,2427,4,0
116,8,1157,4,1
1989,9,280,2,0
3117,2,3433,2,0
1619,0,794,0,0
1542,5,3117,1,1
670,0,187,0,0
2741,9,1568,2,0
967,0,3190,0,1
957,0,3482,0,1
1201,3,3204,3,1
2804,4,3439,0,1
597,8,1569,4,0
2245,5,1455,1,1
3089,1,2960,1,0
2910,6,2461,4,0
3186,2,3029,2,0
1831,0,2771,0,0
3001,6,2690,4,0
853,8,123,4,0
1798,-1,3223,3,0
753,7,3577,3,0
3094,0,3825,0,1
293,4,1931,0,0
1703,9,2775,2,0
2451,3,2921,3,1
2952,-1,3030,5,1
1033,8,76,4,1
76,2,808,2,0
294,5,2815,1,0
775,7,3491,3,0
1826,6,2789,4,0
3118,8,2990,4,1
380,3,1064,3,1
1039,1,3115,1,1
1456,3,3700,3,0
627,6,1679,4,1
59,2,149,2,1
1714,1,2799,1,0
1097,6,3136,4,1
3160,8,2529,4,0
655,0,189,0,0
1343,2,3182,2,1
3180,8,3017,4,0
2649,8,2079,4,1
1890,7,1424,3,1
895,7,962,3,0
2294,4,332,0,0
258,-1,2074,4,0
1958,1,77,1,0
1713,8,3155,4,0
1949,5,167,1,1
981,2,3134,2,1
1092,0,3319,0,1
918,3,174,3,0
1348,10,3444,5,1
2366,3,2443,3,0
2769,6,2427,4,0
2251,2,1156,2,0
1966,3,217,3,1
434,5,1751,1,0
1091,3,3037,3,1
375,3,2121,3,1
1737,8,3155,4,0
1519,4,927,0,1
1363,1,3524,1,0
1598,4,745,0,1
2614,2,1956,2,0
2770,0,2487,0,0
429,5,1704,1,0
3164,9,3474,2,1
1991,6,121,4,0
1973,9,236,2,0
3089,1,2960,1,1
3085,8,3146,4,1
661,10,185,5,0
1737,8,117,4,0
1279,1,3161,1,1
579,9,1564,2,0
362,1,1039,1,0
3123,7,3170,3,0
3158,9,2496,2,1
406,2,2011,2,0
2008,8,1291,4,1
318,8,2071,4,0
1112,4,3031,0,0
665,6,166,4,1
3046,4,2604,0,1
437,6,1717,4,0
1472,1,3524,1,1
2526,5,2103,1,0
2367,-1,2303,3,1
2715,4,1914,0,1
1342,8,3138,4,1
608,1,1997,1,0
587,8,1658,4,0
3161,8,2480,4,0
2108,2,556,2,1
1597,7,616,3,0
2791,0,2497,0,1
477,-1,1201,1,1
343,5,2022,1,1
596,7,1932,3,1
56,8,171,4,0
455,7,943,3,0
603,2,1750,2,0
1954,0,146,0,0
1051,20,3001,1,1
1001,3,162,3,0
1848,3,2873,3,0
1528,7,616,3,1
580,8,1677,4,0
77,7,157,3,1
1834,6,2841,4,1
1452,8,3497,4,1
2506,5,2077,1,1
1725,2,2870,2,0
2463,-1,2128,0,1
395,4,1403,0,0
1373,8,3301,4,0
3093,7,3170,3,1
380,3,1064,3,1
587,8,1771,4,0
564,2,1537,2,0
954,9,3128,2,1
1949,5,225,1,1
1723,4,3141,0,1
1004,4,215,0,0
1453,0,3410,0,0
665,6,3456,4,1
608,1,1681,1,1
2100,8,653,4,0
96,4,1213,0,1
2509,1,1930,1,1
197,6,1225,4,1
1361,4,3302,0,1
2286,5,393,1,0
349,5,1960,1,0
1010,7,3156,3,0
915,6,963,4,1
925,-1,946,2,1
1959,11,209,5,1
995,11,3215,5,0
1037,1,3130,1,1
321,7,2178,3,0
1711,6,2885,4,1
408,2,1923,2,0
2528,2,1982,2,1
156,7,178,3,0
2611,4,2246,0,1
2382,7,2817,3,1
406,2,1332,2,1
2509,1,1930,1,0
2239,9,346,2,0
2040,2,246,2,1
2516,6,1984,4,0
3211,7,3008,3,1
1521,7,79,3,1
1574,9,642,2,1
515,1,1555,1,0
2043,6,1169,4,1
3071,3,3046,3,0
597,8,1569,4,1
2123,-1,654,0,1
395,4,1934,0,1
1974,5,225,1,1
1546,8,655,4,0
877,7,961,3,1
1357,11,3313,5,1
1792,4,3151,0,0
358,0,1051,0,0
1986,1,238,1,0
188,3,1359,3,1
308,1,2072,1,0
1091,3,3032,3,0
3187,-1,3033,1,0
1009,1,229,1,0
1001,3,3436,3,1
959,5,3303,1,1
1424,2,3522,2,1
2650,11,2339,5,0
1842,6,2816,4,0
449,4,801,0,0
665,6,99,4,0
200,1,1168,1,0
2783,10,3523,5,0
63,6,75,4,0
1558,4,643,0,1
1963,7,212,3,1
1366,4,3409,0,0
527,7,1548,3,1
655,0,146,0,1
1068,5,3034,1,0
981,2,3134,2,0
981,2,3134,2,1
1557,0,189,0,0
3110,6,3027,4,0
2461,2,2810,2,1
1537,0,787,0,0
899,5,909,1,0
2047,7,355,3,0
59,2,149,2,1
860,5,909,1,1
1537,0,787,0,1
1737,8,117,4,0
879,4,926,0,1
2851,4,2418,0,0
1082,1,3228,1,1
3201,4,3447,0,1
926,-1,964,5,0
1700,4,2792,0,0
1842,6,2877,4,1
98,8,66,4,1
453,8,1691,4,0
1486,9,3514,2,1
2734,-1,2104,1,0
2448,7,2817,3,1
670,0,187,0,0
2507,1,2255,1,1
1949,5,167,1,0
2528,2,1956,2,1
3127,2,2493,2,1
413,8,1181,4,1
1530,1,3548,1,0
957,0,69,0,0
82,10,190,5,0
1335,8,3458,4,0
1797,-1,419,2,0
672,4,2421,0,1
2368,7,2439,3,0
460,7,1693,3,1
2296,2,532,2,1
1804,6,440,4,1
431,4,1688,0,0
682,1,2420,1,1
2421,3,2561,3,1
188,3,1131,3,1
409,1,1039,1,0
2035,2,347,2,0
976,5,3117,1,0
2657,1,2257,1,1
1516,2,3383,2,0
3104,5,2979,1,0
2673,-1,2086,3,0
410,2,2132,2,1
1824,3,2833,3,0
1567,5,845,1,0
1914,0,1475,0,0
1726,1,2813,1,0
2240,5,1456,1,0
104,8,93,4,0
1025,4,3157,0,0
3120,8,2551,4,1
447,1,1703,1,1
2429,4,2261,0,0
3043,0,2628,0,1
193,5,1356,1,1
1882,1,1423,1,0
674,8,148,4,1
1341,5,3438,1,0
2566,1,2255,1,1
994,1,3130,1,1
1730,8,2828,4,1
1471,5,3450,1,1
2344,7,1388,3,0
426,5,1725,1,0
2042,1,333,1,0
3143,2,2469,2,1
3103,4,2421,0,1
2735,8,1552,4,0
1638,5,845,1,1
205,9,1165,2,0
916,0,915,0,0
2070,1,308,1,0
1970,0,324,0,0
1988,10,245,5,0
2430,4,2027,0,1
1207,-1,489,5,0
1916,9,330,2,0
868,2,101,2,1
77,7,157,3,0
2535,0,2008,0,1
531,2,1050,2,0
3186,2,3029,2,0
2764,5,2422,1,1
210,3,174,3,0
1699,8,86,4,1
2075,0,273,0,1
1841,5,2212,1,1
84,11,197,5,0
1469,10,3444,5,1
535,5,1704,1,1
599,7,1046,3,1
370,6,1019,4,0
674,8,148,4,0
1700,4,2884,0,0
1717,6,1927,4,1
3091,7,3035,3,0
2784,11,2547,5,1
674,8,2005,4,0
2319,2,1328,2,1
2443,6,2814,4,0
2123,0,656,0,1
1987,7,163,3,0
977,9,3154,2,1
1041,7,79,3,1
3121,2,3173,2,0
1714,1,2785,1,0
1456,3,3700,3,1
667,4,92,0,0
1371,2,3463,2,1
708,8,3519,4,0
1958,1,77,1,1
1965,9,249,2,1
2506,5,1969,1,1
464,11,1014,5,1
1034,7,250,3,1
1237,-1,3224,0,0
3089,1,3106,1,0
1023,9,312,2,1
1717,6,274,4,1
152,4,835,0,1
2047,7,355,3,1
3065,2,3042,2,0
955,9,3124,2,1
1869,6,2855,4,1
2172,-1,420,3,1
70,0,107,0,0
1961,5,2762,1,0
696,8,3578,4,0
2998,1,2880,1,0
1963,7,212,3,0
2064,6,161,4,0
3091,7,3401,3,0
656,4,1922,0,0
2736,-1,2039,3,0
756,1,1825,1,0
2218,0,319,0,0
3109,7,2894,3,0
2197,7,1329,3,0
2517,7,2439,3,0
3110,6,3466,4,1
683,3,3436,3,0
2461,2,2810,2,1
2637,7,2273,3,1
673,8,2005,4,0
1973,9,3210,2,1
2458,10,2085,5,1
1001,3,162,3,1
1326,10,3714,5,1
440,2,1726,2,1
676,0,2015,0,1
2028,2,89,2,0
959,5,2956,1,0
2810,6,3472,4,1
2758,9,1564,2,0
981,2,3134,2,1
988,0,3087,0,1
3126,2,3093,2,0
2058,9,309,2,0
385,9,1341,2,1
3177,4,3686,0,1
672,4,2421,0,1
2031,1,333,1,1
1342,8,3113,4,1
1816,3,2790,3,0
1530,1,3548,1,0
1350,1,3507,1,1
1453,0,3408,0,1
2046,9,136,2,1
2882,6,2442,4,0
437,6,1733,4,1
2316,9,249,2,1
976,5,167,1,1
3049,9,2556,2,0
485,5,1092,1,1
655,0,189,0,1
2361,7,2253,3,0
372,9,1242,2,0
359,5,1362,1,0
1981,8,1940,4,1
2627,2,1807,2,1
632,8,1845,4,1
1990,5,135,1,0
1949,5,167,1,1
2059,3,95,3,1
3091,7,3035,3,1
1474,0,3501,0,0
1986,1,2786,1,1
3097,1,3106,1,0
1075,7,3131,3,1
3149,2,2459,2,0
1534,2,797,2,0
857,8,1675,4,1
883,5,803,1,0
1025,4,3157,0,1
905,-1,965,2,0
471,3,1741,3,0
783,6,3452,4,0
614,4,1992,0,1
2359,6,2637,4,1
1080,8,3120,4,0
3161,8,2480,4,0
377,0,2019,0,0
2520,1,1965,1,1
1971,3,81,3,0
2797,9,2488,2,1
981,2,3134,2,0
3109,7,2460,3,0
1201,3,3204,3,0
3109,7,3491,3,0
411,7,1129,3,1
1346,3,3709,3,0
2635,1,2412,1,1
2282,7,326,3,0
764,0,1846,0,1
2643,7,1815,3,1
884,3,947,3,0
1526,8,655,4,1
3103,4,3535,0,1
2774,6,3417,4,0
147,-1,1056,4,1
1725,2,2791,2,1
1414,4,3576,0,0
1737,8,3155,4,0
356,3,1985,3,1
992,9,3108,2,0
2779,1,2420,1,1
88,9,113,2,1
1958,1,2023,1,1
794,-1,3579,1,0
2284,3,389,3,1
2618,4,2298,0,0
2010,4,835,0,1
1819,9,2773,2,0
2779,1,2513,1,1
2724,-1,2087,0,0
2544,5,1998,1,0
1447,3,3462,3,0
979,9,3160,2,1
1717,6,274,4,0
751,3,1831,3,0
981,2,3134,2,0
422,2,1335,2,1
1698,7,212,3,0
3119,5,3044,1,1
437,6,1717,4,0
1974,5,3203,1,0
1429,7,3701,3,1
1041,7,71,3,0
1700,4,1964,0,0
1737,8,117,4,0
